"","country","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8","neighbor9","neighbor10","neighbor11","neighbor12","neighbor13","neighbor14","boundaries.data.ISO_N3","boundaries.data.WB_A3"
"182","Tajikistan","Afghanistan","China","Kyrgyzstan","Uzbekistan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","762","TJK"
"183","Turkmenistan","Afghanistan","Iran","Kazakhstan","Uzbekistan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","795","TKM"
"184","East Timor","Indonesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","626","TMP"
"185","Tonga","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","776","TON"
"186","Trinidad and Tobago","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","780","TTO"
"187","Tunisia","Algeria","Libya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","788","TUN"
"188","Turkey","Armenia","Azerbaijan","Bulgaria","Georgia","Greece","Iran","Iraq","Syria","NA","NA","NA","NA","NA","NA","792","TUR"
"189","Tuvalu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","798","TUV"
"190","Taiwan","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","158","-99"
"191","United Republic of Tanzania","Burundi","Democratic Republic of the Congo","Kenya","Mozambique","Malawi","Rwanda","Uganda","Zambia","NA","NA","NA","NA","NA","NA","834","TZA"
"192","Uganda","Democratic Republic of the Congo","Kenya","Rwanda","South Sudan","United Republic of Tanzania","NA","NA","NA","NA","NA","NA","NA","NA","NA","800","UGA"
"193","Ukraine","Belarus","Hungary","Moldova","Poland","Romania","Russia","Slovakia","NA","NA","NA","NA","NA","NA","NA","804","UKR"
"194","Uruguay","Brazil","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","858","URY"
"195","United States of America","Canada","Mexico","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","-99","-99"
"196","Uzbekistan","Afghanistan","Kazakhstan","Kyrgyzstan","Tajikistan","Turkmenistan","NA","NA","NA","NA","NA","NA","NA","NA","NA","860","UZB"
"197","Vatican","Italy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","336","-99"
"198","Saint Vincent and the Grenadines","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","670","VCT"
"199","Venezuela","Brazil","Colombia","Guyana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","862","VEN"
"200","Vietnam","China","Cambodia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","704","VNM"
"201","Vanuatu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","548","VUT"
